tconst,primaryTitle,Language,Country,plot,genres,lead_actors_ids,startYear,runtimeMinutes,numVotes,averageRating,budget,BoxOffice
tt3681422,Uttama Villain,Tamil,India,"Manoranjan is a leading film star who is immensely popular among his fans but is beset with several personal problems. Twenty-five years ago, he had been forced to marry Varalakshmi, the daughter of noted film director Poornachandra Rao, despite being in a relationship with a woman named Yamini (not shown on-screen). His relationship with his son with Varalakshmi, Manohar, is troubled. Besides, he comes to realise that he has a daughter Manonmani, who was born out of wedlock, during his relationship with Yamini, and was raised by Yamini's husband Jacob Zachariah, after Yamini's death. Furthermore, he is recently diagnosed withadvanced stagebrain cancerand has only a few more months to live, a fact which is unknown to his own family. He is treated by his family doctor Dr. Arpana, with whom he has an extramarital affair.","['Comedy', 'Drama', 'Musical']","['nm0352032', ' nm0352032', ' nm0049335', ' nm0899649', ' nm0621937']",2015,171,4177,7.3,7.2,12.12
tt0834001,Underworld: Rise of the Lycans,English,United States,"Two decades have passed since a war began between a legion of vampires and the first clan of werewolves, a breed unable to take human form.Lucianis the first werewolf born capable of taking human form and the first to be called a Lycan.Viktor, a vampire elder, raises the child, envisioning a race of Lycan slaves guarding the coven's fortress during the day and working as laborers for the vampires at night. The countryside is filled with savage werewolves born fromWilliam's rampage, and human nobles beg Viktor for protection against the beasts: he grants it in exchange for tributes of silver, which enables him to keep his slaves under control. As Lucian grows up, he and Viktor's daughterSonjafall in love, and in their adult years they begin a secretive intimate relationship. Sonja is reckless and insubordinate, and one night Lucian escapes the shackles preventing him from turning werewolf and rescues Sonja from his werewolf brethren. Despite acknowledging that Lucian rescued his daughter, Viktor cannot forgive the escape and has Lucian whipped and imprisoned.","['Action', 'Fantasy', 'Thriller']","['nm0593961', ' nm0790688', ' nm0631490', ' nm0533599', ' nm0340485']",2009,92,175051,6.5,35.0,91.4
tt7097896,Venom: Let There Be Carnage,English,United States,"In 1996, a youngCletus Kasadywatches helplessly as his lover,Frances Barrison, is taken away from St. Estes Home for Unwanted Children to theRavencroft Institute. On the way, Frances uses her sonic scream powers to attack young police officerPatrick Mulligan. Mulligan shoots her in the eye and suffers an injury to his ear due to her scream. Mulligan believes he killed her, but Frances survives and her abilities are restricted at Ravencroft.","['Action', 'Adventure', 'Animation']","['nm0362766', ' nm0362766', ' nm0000437', ' nm0000437', ' nm0931329']",2021,97,303683,5.9,0.0,0.001
tt1441395,Under the Skin,English,United Kingdom United States Switzerland,"InGlasgow, a motorcyclist retrieves an inert young woman from the roadside and places her in the back of a van, where a naked woman dons her clothes. After buying clothes and make-up at a shopping centre, the woman drives the van from town to town, picking up men. She lures a man into a dilapidated house. As he undresses, following the woman into a void, he is submerged in a liquid abyss.","['Drama', 'Horror', 'Mystery']","['nm0424060', ' nm4835245', ' nm5860325', ' nm5860326', ' nm5860327']",2013,108,170673,6.3,13.3,7.4
tt0062414,Ulysses,English,"Ireland, United Kingdom, United States","The movie follows a day in the life of advertising agent Leopold Bloom and young teacher Stephen Dedalus in Dublin on June 16, 1904, intertwining their stories with the epic tale of Odysseus's wanderings.",['Drama'],"['nm0642675', ' nm0420266', ' nm0747687', ' nm0571435', ' nm0541258']",1967,123,1067,6.4,0.9,2.3
tt1946502,UglyDolls,English Spanish,United States Canada China,"In a hidden universe within a toy factory, deformed dolls, or UglyDolls, are dropped into a tunnel leading to the secluded town of Uglyville. Among these dolls is Moxy, who dreams of the 'Big World' and being loved by a child, despite Uglyville's Mayor Ox assuring her this concept is a myth. One day, Moxy and her shy advisor friend Lucky Bat talk about the big world; inspired by this conversation, Moxy and Lucky, followed by the town's cynical baker Wage, easy-going Ugly Dog, and soft-hearted giant Babo, journey up the tunnel.","['Adventure', 'Animation', 'Comedy']","['nm1225628', ' nm2679917', ' nm1847117', ' nm1627901', ' nm2100284']",2019,87,8534,5.2,49.0,32.5
tt0040920,Unknown Island,English,United States,"Ted Osborne and his fiancée Carole hire Captain Tarnowski to take them to a mysterious island where Osborne claims dinosaurs live. Tarnowski’s friend Fairbanks, a traumatized survivor of a past shipwreck there, reluctantly joins them.","['Adventure', 'Horror', 'Romance']","['nm0340706', ' nm0715637', ' nm0219396', ' nm0533692', ' nm0921799']",1948,75,932,5.0,0.4,1.0
tt1809398,Unbroken,English,United States,"Louis ""Louie"" Zamperiniis abombardierin theUnited States Army Air Forcesin World War II. An April 1943 bombing mission againstJapaneseinstallations onNauruexposes him to danger. HisB-24 Liberatoris hit by enemy fire, a crewman is badly wounded, and the pilot, Phil, nurses the damaged aircraft to a stop just short of the end of the runway.","['Biography', 'Drama', 'Sport']","['nm1925239', ' nm2032193', ' nm1727304', ' nm1330560', ' nm1587729']",2014,137,198881,7.2,65.0,0.0
tt0338526,Van Helsing,English,"United States, Czech Republic","In 1887 Transylvania, Doctor Victor Frankenstein, aided by his assistant Igor and Count Dracula, creates a monster. Dracula kills Frankenstein when he refuses to go along with the vampire's designs for the creature as Igor, revealed to be under Dracula's pay, watches impassively. As a mob storms the castle, the monster flees to a windmill with Frankenstein's body. The mob burns down the windmill, seemingly killing the monster. A year later, Gabriel Van Helsing, a monster hunter who works for the Knights of the Holy Order, an organization that protects mankind, travels to Notre-Dame de Paris and kills Dr. Jekyll after a brawl with Mr. Hyde. Van Helsing remembers nothing before he was found on the steps of a church nearly dead, and hopes to earn pardon for his forgotten sins and regain his memory.","['Action', 'Adventure', 'Fantasy']","['nm0413168', ' nm0000295', ' nm0746896', ' nm0378175', ' nm0920992']",2004,131,306994,6.1,0.0,0.0
tt0485522,Umrao Jaan,Hindi Urdu,India,"In 1840, a teen-aged girl named Ameeran is kidnapped from her home inFaizabadby Dilawar Khan (Vishwajeet Pradhan), a criminal, who had been sent to jail years before based on testimony from Ameeran's father. To take revenge, Dilawar sells Ameeran to a brothel inLucknow, owned by Khanum Jaan (Shabana Azmi). There, Bua Hussaini (Himani Shivpuri) and Maulvi Sahib (Kulbhushan Kharbanda) look after her as their own daughter. In the company of Khurshid (Ayesha Jhulka), Bismillah (Divya Dutta), and one of thetawaif's sons, Gauhar Mirza (Puru Raaj Kumar), Ameeran learns the art of being atawaif.","['Drama', 'Romance']","['nm0706787', ' nm0706787', ' nm0000818', ' nm0792911', ' nm0045393']",2006,188,2173,5.4,1.8,2.342
